Destination Name,Country,Region,Image URL,Priority,Notes
Richmond,United States,North America,,Tier 3,Historic city
Annapolis,United States,North America,,Tier 3,Coastal city
Newport,United States,North America,,Tier 3,Coastal city
Martha's Vineyard,United States,North America,,Tier 3,Island destination
Nantucket,United States,North America,,Tier 3,Island destination
Mackinac Island,United States,North America,,Tier 3,Island destination
Door County,United States,North America,,Tier 3,Coastal region
Traverse City,United States,North America,,Tier 3,Wine region
Wine Country California,United States,North America,,Tier 3,Wine region
Yellowstone National Park,United States,North America,,Tier 3,National park
Glacier National Park,United States,North America,,Tier 3,National park
Arches National Park,United States,North America,,Tier 3,National park
Moab,United States,North America,,Tier 3,Adventure destination
Steamboat Springs,United States,North America,,Tier 3,Ski resort
Vail,United States,North America,,Tier 3,Ski resort
Breckenridge,United States,North America,,Tier 3,Ski resort
Durango,United States,North America,,Tier 3,Adventure destination
Bend,United States,North America,,Tier 3,Adventure destination
Winnipeg,Canada,North America,,Tier 3,City destination
Saskatoon,Canada,North America,,Tier 3,City destination
Regina,Canada,North America,,Tier 3,City destination
Whitehorse,Canada,North America,,Tier 3,Northern destination
Yellowknife,Canada,North America,,Tier 3,Northern destination
St. John's,Canada,North America,,Tier 3,Coastal city
Charlottetown,Canada,North America,,Tier 3,Coastal city
Guanajuato,Mexico,North America,,Tier 3,Historic city
Oaxaca City,Mexico,North America,,Tier 3,Already have Oaxaca - check
Isla Mujeres,Mexico,North America,,Tier 3,Island destination
Tepoztlán,Mexico,North America,,Tier 3,Mountain town
Valle de Guadalupe,Mexico,North America,,Tier 3,Wine region
Istanbul,Turkey,Europe,,Global Tier 1,Major city
Dubai,UAE,Middle East,,Global Tier 1,Already have - check
Abu Dhabi,UAE,Middle East,,Global Tier 1,Already have - check
Dublin,Ireland,Europe,,Global Tier 1,Major city
Copenhagen,Denmark,Europe,,Global Tier 1,Major city
Stockholm,Sweden,Europe,,Global Tier 1,Major city
Helsinki,Finland,Europe,,Global Tier 1,Major city
Brussels,Belgium,Europe,,Global Tier 1,Major city
Bruges,Belgium,Europe,,Global Tier 1,Historic city
Luxembourg City,Luxembourg,Europe,,Global Tier 1,Capital city
Bergen,Norway,Europe,,Global Tier 2,Coastal city
Tromsø,Norway,Europe,,Global Tier 2,Northern lights
Valencia,Spain,Europe,,Global Tier 1,Major city
Granada,Spain,Europe,,Global Tier 1,Historic city
Córdoba,Spain,Europe,,Global Tier 1,Historic city
Bilbao,Spain,Europe,,Global Tier 1,Cultural city
San Sebastián,Spain,Europe,,Global Tier 1,Coastal city
Málaga,Spain,Europe,,Global Tier 1,Already have - check
Milan,Italy,Europe,,Global Tier 1,Major city
Naples,Italy,Europe,,Global Tier 1,Historic city
Bologna,Italy,Europe,,Global Tier 1,Food city
Siena,Italy,Europe,,Global Tier 1,Historic city
Pisa,Italy,Europe,,Global Tier 1,Historic city
Verona,Italy,Europe,,Global Tier 1,Historic city
Lagos,Portugal,Europe,,Global Tier 2,Coastal town
Sintra,Portugal,Europe,,Global Tier 2,Historic town
Salzburg,Austria,Europe,,Global Tier 1,Historic city
Innsbruck,Austria,Europe,,Global Tier 2,Alpine city
Krakow,Poland,Europe,,Global Tier 1,Historic city
Warsaw,Poland,Europe,,Global Tier 1,Capital city
Gdansk,Poland,Europe,,Global Tier 2,Coastal city
Bucharest,Romania,Europe,,Global Tier 2,Capital city
Zagreb,Croatia,Europe,,Global Tier 2,Capital city
Ljubljana,Slovenia,Europe,,Global Tier 2,Capital city
Tallinn,Estonia,Europe,,Global Tier 2,Historic city
Riga,Latvia,Europe,,Global Tier 2,Historic city
Vilnius,Lithuania,Europe,,Global Tier 2,Historic city
Nara,Japan,Asia-Pacific,,Global Tier 2,Historic city
Kanazawa,Japan,Asia-Pacific,,Global Tier 2,Historic city
Takayama,Japan,Asia-Pacific,,Global Tier 2,Historic town
Hakone,Japan,Asia-Pacific,,Global Tier 2,Hot springs
Sydney,Australia,Asia-Pacific,,Global Tier 1,Major city
Brisbane,Australia,Asia-Pacific,,Global Tier 1,Major city
Adelaide,Australia,Asia-Pacific,,Global Tier 2,City destination
Darwin,Australia,Asia-Pacific,,Global Tier 2,Northern city
Hobart,Australia,Asia-Pacific,,Global Tier 2,Coastal city
Christchurch,New Zealand,Asia-Pacific,,Global Tier 2,City destination
Dunedin,New Zealand,Asia-Pacific,,Global Tier 2,Coastal city
Ho Chi Minh City,Vietnam,Asia-Pacific,,Global Tier 1,Already have - check
Hong Kong,China,Asia-Pacific,,Global Tier 1,Major city
Taipei,Taiwan,Asia-Pacific,,Global Tier 1,Major city
Agra,India,Asia-Pacific,,Global Tier 2,Taj Mahal
Varanasi,India,Asia-Pacific,,Global Tier 2,Spiritual city
Udaipur,India,Asia-Pacific,,Global Tier 2,Historic city
Fez,Morocco,Africa,,Global Tier 2,Historic city
Essaouira,Morocco,Africa,,Global Tier 2,Coastal city
La Fortuna,Costa Rica,Central America,,Global Tier 1,Already have - check
Tel Aviv,Israel,Middle East,,Global Tier 1,Already have - check
Amman,Jordan,Middle East,,Global Tier 1,Already have - check
Beirut,Lebanon,Middle East,,Global Tier 1,Already have - check
Doha,Qatar,Middle East,,Global Tier 1,Already have - check
Muscat,Oman,Middle East,,Global Tier 1,Already have - check
Riyadh,Saudi Arabia,Middle East,,Global Tier 1,Already have - check